"Tree","Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random","Pattern_Holds","Seed"
"small_balanced","Lambda0.7","ess_2",5.19845658706385,3.36914870635936,4.46433370970085,0.5,0.0609390609390609,0.023976023976024,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","K",0.60629421213254,2.29577739156659,1.08725831597983,0.5,0.0589410589410589,0.012987012987013,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","Lambda",7.33137435857406e-05,0.999926686256414,0.676101056312415,0.5,0.271728271728272,0.531468531468531,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","max_offdiag_cor",0.656777493606138,0.833333333333333,0.787389023300631,0.5,0.022977022977023,0.230769230769231,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","mean_offdiag_cor",0.182890218736545,0.363685684937216,0.235688135812928,0.5,0.141858141858142,0.00999000999000999,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","MoransI",-0.163599669283714,0.0389804542738477,-0.016217895408334,1,0.89010989010989,0.765234765234765,1,1,1000,FALSE,1
"small_balanced","Lambda0.7","mpnns",0.345574381858652,0.563961317154254,0.473637105132306,0.5,0.0809190809190809,0.167832167832168,1,1,1000,TRUE,1
"small_balanced","Lambda1","ess_1",3.83139603002755,2.26653846761588,3.2005910154043,0.5,0.0579420579420579,0.011988011988012,1,1,1000,TRUE,1
"small_balanced","Lambda1","ess_2",5.58457593313705,3.39062867906758,4.6130008472207,0.5,0.027972027972028,0.030969030969031,1,1,1000,TRUE,1
"small_balanced","Lambda1","K",0.706797925470688,1.45072477826397,0.82691267007034,0.5,0.416583416583417,0.048951048951049,1,1,1000,TRUE,1
"small_balanced","Lambda1","Lambda",7.33137435857406e-05,0.999926686256414,0.488778331221827,0.5,0.426573426573427,0.364635364635365,1,1,1000,TRUE,1
"small_balanced","Lambda1","max_offdiag_cor",0.645497224367903,0.833333333333333,0.793796949893751,0.5,0.032967032967033,0.444555444555445,1,1,1000,TRUE,1
"small_balanced","Lambda1","mean_offdiag_cor",0.155430252624896,0.36137305627082,0.220080640294462,0.5,0.0579420579420579,0.011988011988012,1,1,1000,TRUE,1
"small_balanced","Lambda1","MoransI",-0.179934833802287,-0.102481403071944,-0.0808789504258474,1,0.877122877122877,0.516483516483517,1,1,1000,FALSE,1
"small_balanced","Lambda1","mpnns",0.461282904539598,0.519904083655864,0.522590160914816,0.5,0.276723276723277,0.498501498501498,1,1,1000,FALSE,1
"small_balanced","OU_alpha0.2","ess_1",5.93886398621755,3.1840057330238,4.73688484267718,0.5,0.000999000999000999,0.001998001998002,1,1,1000,TRUE,1
"small_balanced","OU_alpha0.2","ess_2",7.5404470942673,5.1881269513443,6.53595822319037,0.5,0.002997002997003,0.003996003996004,1,1,1000,TRUE,1
"small_balanced","OU_alpha0.2","K",1.18051837905298,0.945592624956174,0.911427544803833,1,0.8001998001998,0.392607392607393,1,1,1000,FALSE,1
"small_balanced","OU_alpha0.2","Lambda",0.984351748275133,0.92757333091631,0.637438970210597,1,0.589410589410589,0.467532467532468,1,1,1000,FALSE,1
"small_balanced","OU_alpha0.2","max_offdiag_cor",0.275650709731228,0.637428281843891,0.542132848657745,0.5,0.001998001998002,0.356643356643357,1,1,1000,TRUE,1
"small_balanced","OU_alpha0.2","mean_offdiag_cor",0.0495798527550477,0.216079755718033,0.100726743336896,0.5,0.000999000999000999,0.001998001998002,1,1,1000,TRUE,1
"small_balanced","OU_alpha0.2","MoransI",-0.0505372204009918,0.0472621263195591,-0.0763792138942853,1,0.213786213786214,0.801198801198801,1,1,1000,FALSE,1
"small_balanced","OU_alpha0.2","mpnns",0.481017279002962,0.565523966557902,0.557431741464513,0.5,0.223776223776224,0.471528471528472,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","ess_1",7.97729706255519,7.1762786236349,7.70161299039245,0.5,0.001998001998002,0.000999000999000999,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","ess_2",7.99990601119103,7.94066068346312,7.97740664703488,0.5,0.001998001998002,0.043956043956044,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","K",0.728652468517084,0.982107054213831,0.515090784174537,0.5,0.893106893106893,0.023976023976024,1,1,1000,FALSE,1
"small_balanced","OU_alpha1","Lambda",7.33137435857406e-05,0.848982863992213,0.0870771459391623,0.5,0.855144855144855,0.0559440559440559,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","max_offdiag_cor",0.00588029684809656,0.135329970520336,0.0782602622575797,0.5,0.001998001998002,0.356643356643357,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","mean_offdiag_cor",0.000406563370073558,0.016397702557188,0.00559564809073974,0.5,0.001998001998002,0.000999000999000999,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","MoransI",-0.157700287744989,-0.177444743849927,-0.169098221255904,0.5,0.407592407592408,0.458541458541459,1,1,1000,TRUE,1
"small_balanced","OU_alpha1","mpnns",0.59339287046946,0.464831234127893,0.598209687414086,1,0.468531468531469,0.921078921078921,1,1,1000,FALSE,1
"small_balanced","OU_alpha5","ess_1",7.99999999997185,7.99990673328606,7.99996004319216,0.5,0.001998001998002,0.043956043956044,1,1,1000,TRUE,1
"small_balanced","OU_alpha5","ess_2",8,7.99999999587694,7.99999999821894,0.5,0.142857142857143,0.045954045954046,1,1,1000,TRUE,1
"small_balanced","OU_alpha5","K",0.761103699763485,0.50001556558585,0.615510701647327,1,0.785214785214785,0.634365634365634,1,1,1000,FALSE,1
"small_balanced","OU_alpha5","Lambda",7.33137435857406e-05,7.33137435857406e-05,0.202118928257968,1,0.687312687312687,1,1,1,1000,FALSE,1
"small_balanced","OU_alpha5","max_offdiag_cor",1.38873133676e-11,4.53999297624848e-05,1.77141331139298e-05,0.5,0.00699300699300699,0.387612387612388,1,1,1000,TRUE,1
"small_balanced","OU_alpha5","mean_offdiag_cor",5.02659646576846e-13,1.66549645161071e-06,7.13524253803796e-07,0.5,0.001998001998002,0.043956043956044,1,1,1000,TRUE,1
"small_balanced","OU_alpha5","MoransI",-0.151786861970011,-0.0788612418339133,-0.134819206997696,1,0.55044955044955,0.785214785214785,1,1,1000,FALSE,1
"small_balanced","OU_alpha5","mpnns",0.801750798087965,0.802671905048448,0.768883181457393,0.5,0.724275724275724,0.26973026973027,1,1,1000,FALSE,1
"small_ladder","Lambda0.5","ess_1",1.9384082194037,2.06593393850937,1.96506290935046,1,0.545454545454545,0.713286713286713,1,1,1000,FALSE,1
"small_ladder","Lambda0.5","ess_2",2.6511543012082,2.93252639787758,2.66655779506148,1,0.520479520479521,0.782217782217782,1,1,1000,FALSE,1
"small_ladder","Lambda0.5","K",2.75059161255927,0.383617359993117,2.28319631490777,1,0.673326673326673,1,1,1,1000,FALSE,1
"small_ladder","Lambda0.5","Lambda",0.999926686256414,7.33137435857406e-05,0.992609367670057,1,1,1,1,1,1000,FALSE,1
