"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","random_2",40,NA,NA,"random"
"BM","random_2",41,NA,NA,"random"
"BM","random_2",42,NA,NA,"random"
"BM","random_2",43,NA,NA,"random"
"BM","random_2",44,NA,NA,"random"
"BM","random_2",45,NA,NA,"random"
"BM","random_2",46,NA,NA,"random"
"BM","random_2",47,NA,NA,"random"
"BM","random_2",48,NA,NA,"random"
"BM","random_2",49,NA,NA,"random"
"BM","random_2",50,NA,NA,"random"
"BM","random_2",51,NA,NA,"random"
"BM","random_2",52,NA,NA,"random"
"BM","random_2",53,NA,NA,"random"
"BM","random_2",54,NA,NA,"random"
"BM","random_2",55,NA,NA,"random"
"BM","random_2",56,NA,NA,"random"
"BM","random_2",57,NA,NA,"random"
"BM","random_2",58,NA,NA,"random"
"BM","random_2",59,NA,NA,"random"
"BM","random_2",60,NA,NA,"random"
"BM","random_2",61,NA,NA,"random"
"BM","random_2",62,NA,NA,"random"
"BM","random_2",63,NA,NA,"random"
"BM","random_2",64,NA,NA,"random"
"BM","random_2",65,NA,NA,"random"
"BM","random_2",66,NA,NA,"random"
"BM","random_2",67,NA,NA,"random"
"BM","random_2",68,NA,NA,"random"
"BM","random_2",69,NA,NA,"random"
"BM","random_2",70,NA,NA,"random"
"BM","random_2",71,NA,NA,"random"
"BM","random_2",72,NA,NA,"random"
"BM","random_2",73,NA,NA,"random"
"BM","random_2",74,NA,NA,"random"
"BM","random_2",75,NA,NA,"random"
"BM","random_2",76,NA,NA,"random"
"BM","random_2",77,NA,NA,"random"
"BM","random_2",78,NA,NA,"random"
"BM","random_2",79,NA,NA,"random"
"BM","random_2",80,NA,NA,"random"
"BM","random_2",81,NA,NA,"random"
"BM","random_2",82,NA,NA,"random"
"BM","random_2",83,NA,NA,"random"
"BM","random_2",84,NA,NA,"random"
"BM","random_2",85,NA,NA,"random"
"BM","random_2",86,NA,NA,"random"
"BM","random_2",87,NA,NA,"random"
"BM","random_2",88,NA,NA,"random"
"BM","random_2",89,NA,NA,"random"
"BM","random_2",90,NA,NA,"random"
"BM","random_2",91,NA,NA,"random"
"BM","random_2",92,NA,NA,"random"
"BM","random_2",93,NA,NA,"random"
"BM","random_2",94,NA,NA,"random"
"BM","random_2",95,NA,NA,"random"
"BM","random_2",96,NA,NA,"random"
"BM","random_2",97,NA,NA,"random"
"BM","random_2",98,NA,NA,"random"
"BM","random_2",99,NA,NA,"random"
"BM","random_2",100,NA,NA,"random"
"BM","random_3",1,NA,NA,"random"
"BM","random_3",2,NA,NA,"random"
"BM","random_3",3,NA,NA,"random"
"BM","random_3",4,NA,NA,"random"
"BM","random_3",5,NA,NA,"random"
"BM","random_3",6,NA,NA,"random"
"BM","random_3",7,NA,NA,"random"
"BM","random_3",8,NA,NA,"random"
"BM","random_3",9,NA,NA,"random"
"BM","random_3",10,NA,NA,"random"
"BM","random_3",11,NA,NA,"random"
"BM","random_3",12,NA,NA,"random"
"BM","random_3",13,NA,NA,"random"
"BM","random_3",14,NA,NA,"random"
"BM","random_3",15,NA,NA,"random"
"BM","random_3",16,NA,NA,"random"
"BM","random_3",17,NA,NA,"random"
