"Latin name","C512","C256","C128","C64","C32"
"Oligoryzomys microtis","Yes","No","No","No","No"
"Oligoryzomys moojeni","Yes","Yes","Yes","No","No"
"Oligoryzomys nigripes","Yes","Yes","Yes","Yes","No"
"Oligoryzomys rupestris","Yes","Yes","Yes","Yes","Yes"
"Oligoryzomys stramineus","Yes","Yes","Yes","No","No"
"Oligoryzomys vegetus","Yes","No","No","No","No"
"Ondatra zibethicus","Yes","No","No","No","No"
"Onychomys arenicola","Yes","No","No","No","No"
"Onychomys leucogaster","Yes","No","No","No","No"
"Onychomys torridus","Yes","Yes","No","No","No"
"Oreoryzomys balneator","Yes","No","No","No","No"
"Oryzomys couesi","Yes","Yes","Yes","No","No"
"Oryzomys palustris","Yes","No","No","No","No"
"Osgoodomys banderanus","Yes","Yes","Yes","No","No"
"Otonyctomys hatti","Yes","No","No","No","No"
"Ototylomys phyllotis","Yes","No","No","No","No"
"Oxymycterus amazonicus","Yes","No","No","No","No"
"Oxymycterus dasytrichus","Yes","Yes","Yes","No","No"
"Oxymycterus delator","Yes","No","No","No","No"
"Oxymycterus hiska","Yes","Yes","Yes","No","No"
"Oxymycterus josei","Yes","No","No","No","No"
"Oxymycterus nasutus","Yes","No","No","No","No"
"Oxymycterus paramensis","Yes","No","No","No","No"
"Oxymycterus quaestor","Yes","Yes","Yes","No","No"
"Oxymycterus rufus","Yes","No","No","No","No"
"Oxymycterus wayku","Yes","No","No","No","No"
"Paralomys gerbillus","Yes","Yes","Yes","Yes","Yes"
"Pearsonomys annectens","Yes","Yes","No","No","No"
"Peromyscus attwateri","Yes","Yes","No","No","No"
"Peromyscus aztecus","Yes","No","No","No","No"
"Peromyscus beatae","Yes","Yes","Yes","No","No"
"Peromyscus boylii","Yes","No","No","No","No"
"Peromyscus californicus","Yes","Yes","Yes","Yes","No"
"Peromyscus carletoni","Yes","Yes","No","No","No"
"Peromyscus crinitus","Yes","Yes","No","No","No"
"Peromyscus difficilis","Yes","No","No","No","No"
"Peromyscus eremicus","Yes","No","No","No","No"
"Peromyscus fraterculus","Yes","No","No","No","No"
"Peromyscus furvus","Yes","Yes","No","No","No"
"Peromyscus gossypinus","Yes","No","No","No","No"
"Peromyscus grandis","Yes","No","No","No","No"
"Peromyscus gratus","No","No","No","No","No"
"Peromyscus guatemalensis","Yes","Yes","Yes","No","No"
"Peromyscus gymnotis","Yes","No","No","No","No"
"Peromyscus hooperi","Yes","No","No","No","No"
"Peromyscus hylocetes","Yes","No","No","No","No"
"Peromyscus keeni","Yes","No","No","No","No"
"Peromyscus leucopus","Yes","No","No","No","No"
"Peromyscus levipes","Yes","No","No","No","No"
"Peromyscus madrensis","Yes","No","No","No","No"
"Peromyscus maniculatus","Yes","No","No","No","No"
"Peromyscus mayensis","Yes","No","No","No","No"
"Peromyscus megalops","Yes","Yes","No","No","No"
"Peromyscus melanocarpus","Yes","No","No","No","No"
"Peromyscus melanophrys","Yes","Yes","Yes","Yes","No"
"Peromyscus melanotis","Yes","No","No","No","No"
"Peromyscus mexicanus","Yes","Yes","No","No","No"
"Peromyscus nasutus","Yes","Yes","Yes","Yes","Yes"
"Peromyscus ochraventer","Yes","Yes","No","No","No"
"Peromyscus perfulvus","Yes","Yes","Yes","No","No"
"Peromyscus polionotus","Yes","Yes","Yes","Yes","Yes"
"Peromyscus sagax","Yes","Yes","Yes","Yes","Yes"
"Peromyscus schmidlyi","Yes","No","No","No","No"
"Peromyscus simulus","Yes","Yes","No","No","No"
"Peromyscus spicilegus","Yes","Yes","Yes","No","No"
"Peromyscus stephani","Yes","Yes","Yes","No","No"
"Peromyscus stirtoni","Yes","No","No","No","No"
"Peromyscus truei","Yes","No","No","No","No"
"Peromyscus winkelmanni","Yes","No","No","No","No"
"Peromyscus yucatanicus","Yes","Yes","No","No","No"
"Peromyscus zarhynchus","Yes","Yes","No","No","No"
"Phenacomys intermedius","Yes","No","No","No","No"
"Phenacomys ungava","Yes","No","No","No","No"
"Phodopus campbelli","Yes","No","No","No","No"
"Phodopus roborovskii","Yes","No","No","No","No"
"Phodopus sungorus","Yes","Yes","Yes","Yes","Yes"
"Phyllotis alisosiensis","No","No","No","No","No"
"Phyllotis amicus","Yes","No","No","No","No"
"Phyllotis andium","Yes","No","No","No","No"
"Phyllotis anitae","Yes","Yes","No","No","No"
"Phyllotis bonariensis","Yes","No","No","No","No"
"Phyllotis caprinus","Yes","Yes","No","No","No"
"Phyllotis darwini","Yes","Yes","No","No","No"
"Phyllotis limatus","Yes","No","No","No","No"
"Phyllotis magister","Yes","No","No","No","No"
"Phyllotis osilae","Yes","No","No","No","No"
"Phyllotis wolffsohni","Yes","No","No","No","No"
"Phyllotis xanthopygus","Yes","Yes","No","No","No"
"Podomys floridanus","Yes","Yes","No","No","No"
"Podoxymys roraimae","Yes","Yes","No","No","No"
"Proedromys bedfordi","Yes","Yes","Yes","Yes","Yes"
"Proedromys liangshanensis","Yes","Yes","Yes","No","No"
"Prometheomys schaposchnikowi","Yes","Yes","No","No","No"
"Pseudoryzomys simplex","Yes","Yes","Yes","Yes","No"
"Punomys kofordi","Yes","No","No","No","No"
"Reithrodontomys bakeri","Yes","No","No","No","No"
"Reithrodontomys brevirostris","No","No","No","No","No"
"Reithrodontomys chrysopsis","Yes","Yes","Yes","No","No"
"Reithrodontomys creper","Yes","No","No","No","No"
"Reithrodontomys darienensis","Yes","Yes","No","No","No"
"Reithrodontomys fulvescens","Yes","No","No","No","No"
"Reithrodontomys gracilis","Yes","Yes","Yes","Yes","Yes"
"Reithrodontomys hirsutus","Yes","Yes","Yes","Yes","Yes"
"Reithrodontomys humulis","Yes","No","No","No","No"
"Reithrodontomys megalotis","Yes","Yes","Yes","No","No"
"Reithrodontomys mexicanus","Yes","No","No","No","No"
"Reithrodontomys microdon","Yes","Yes","No","No","No"
"Reithrodontomys montanus","Yes","Yes","Yes","No","No"
"Reithrodontomys raviventris","Yes","Yes","No","No","No"
"Reithrodontomys spectabilis","Yes","Yes","No","No","No"
