"Subset membership","Common name","Latin name","Family"
"Neither","Walrus","Odobenus rosmarus","ODOBENIDAE"
"Neither","South American Fur Seal","Arctocephalus australis","OTARIIDAE"
"Neither","New Zealand Fur Seal","Arctocephalus forsteri","OTARIIDAE"
"Neither","Antarctic Fur Seal","Arctocephalus gazella","OTARIIDAE"
"Neither","Juan Fernandez Fur Seal","Arctocephalus philippii","OTARIIDAE"
"Neither","Afro-Australian Fur Seal","Arctocephalus pusillus","OTARIIDAE"
"Neither","Guadalupe Fur Seal","Arctocephalus townsendi","OTARIIDAE"
"Neither","Subantarctic Fur Seal","Arctocephalus tropicalis","OTARIIDAE"
"Neither","Northern Fur Seal","Callorhinus ursinus","OTARIIDAE"
"Neither","Steller Sea Lion","Eumetopias jubatus","OTARIIDAE"
"Neither","Australian Sea Lion","Neophoca cinerea","OTARIIDAE"
"Neither","South American Sea Lion","Otaria bryonia","OTARIIDAE"
"Neither","New Zealand Sea Lion","Phocarctos hookeri","OTARIIDAE"
"Neither","California Sea Lion","Zalophus californianus","OTARIIDAE"
"Neither","Galapagos Sea Lion","Zalophus wollebaeki","OTARIIDAE"
"Neither","Hooded Seal","Cystophora cristata","PHOCIDAE"
"Neither","Gray Seal","Halichoerus grypus","PHOCIDAE"
"Neither","Ribbon Seal","Histriophoca fasciata","PHOCIDAE"
"Neither","Leopard Seal","Hydrurga leptonyx","PHOCIDAE"
"Neither","Weddell Seal","Leptonychotes weddellii","PHOCIDAE"
"Neither","Crabeater Seal","Lobodon carcinophaga","PHOCIDAE"
"Neither","Northern Elephant Seal","Mirounga angustirostris","PHOCIDAE"
"Neither","Southern Elephant Seal","Mirounga leonina","PHOCIDAE"
"Neither","Mediterranean Monk Seal","Monachus monachus","PHOCIDAE"
"Neither","Hawaiian Monk Seal","Neomonachus schauinslandi","PHOCIDAE"
"Neither","Ross Seal","Ommatophoca rossii","PHOCIDAE"
"Neither","Harp Seal","Pagophilus groenlandicus","PHOCIDAE"
"Neither","Spotted Seal","Phoca largha","PHOCIDAE"
"Neither","Harbor Seal","Phoca vitulina","PHOCIDAE"
"Neither","Caspian Seal","Pusa caspica","PHOCIDAE"
"Neither","Ringed Seal","Pusa hispida","PHOCIDAE"
"Neither","Baikal Seal","Pusa sibirica","PHOCIDAE"
"Neither","Banded Linsang","Prionodon linsang","PRIONODONTIDAE"
"Neither","Eastern Lowland Olingo","Bassaricyon alleni","PROCYONIDAE"
"Neither","Northern Olingo","Bassaricyon gabbii","PROCYONIDAE"
"Neither","Western Lowland Olingo","Bassaricyon medius","PROCYONIDAE"
"Neither","Olinguito","Bassaricyon neblina","PROCYONIDAE"
"Neither","Ringtail","Bassariscus astutus","PROCYONIDAE"
"Neither","Cacomistle","Bassariscus sumichrasti","PROCYONIDAE"
"Neither","White-nosed Coati","Nasua narica","PROCYONIDAE"
"Neither","Mountain Coati","Nasuella meridensis","PROCYONIDAE"
"Neither","Mountain Coati","Nasuella olivacea","PROCYONIDAE"
"Neither","Crab-eating Raccoon","Procyon cancrivorus","PROCYONIDAE"
"Neither","Sun Bear","Helarctos malayanus","URSIDAE"
"Neither","Sloth Bear","Melursus ursinus","URSIDAE"
"Neither","Andean Bear","Tremarctos ornatus","URSIDAE"
"Neither","American Black Bear","Ursus americanus","URSIDAE"
"Neither","Brown Bear","Ursus arctos","URSIDAE"
"Neither","Polar Bear","Ursus maritimus","URSIDAE"
"Neither","Asian Black Bear","Ursus thibetanus","URSIDAE"
"Neither","Binturong","Arctictis binturong","VIVERRIDAE"
"Neither","Small-toothed Palm Civet","Arctogalidia trivirgata","VIVERRIDAE"
"Neither","Owston's Palm Civet","Chrotogale owstoni","VIVERRIDAE"
"Neither","African Civet","Civettictis civetta","VIVERRIDAE"
"Neither","Otter Civet","Cynogale bennettii","VIVERRIDAE"
"Neither","Hose's Palm Civet","Diplogale hosei","VIVERRIDAE"
"Neither","Angolan Genet","Genetta angolensis","VIVERRIDAE"
"Neither","Bourlon's Genet","Genetta bourloni","VIVERRIDAE"
"Neither","Crested Genet","Genetta cristata","VIVERRIDAE"
"Neither","Common Genet","Genetta genetta","VIVERRIDAE"
"Neither","Johnston's Genet","Genetta johnstoni","VIVERRIDAE"
"Neither","Rusty-spotted Genet","Genetta maculata","VIVERRIDAE"
"Neither","Pardine Genet","Genetta pardina","VIVERRIDAE"
"Neither","Aquatic Genet","Genetta piscivora","VIVERRIDAE"
"Neither","King Genet","Genetta poensis","VIVERRIDAE"
"Neither","Servaline Genet","Genetta servalina","VIVERRIDAE"
"Neither","Hausa Genet","Genetta thierryi","VIVERRIDAE"
"Neither","Cape Genet","Genetta tigrina","VIVERRIDAE"
"Neither","Giant Genet","Genetta victoriae","VIVERRIDAE"
"Neither","Banded Palm Civet","Hemigalus derbyanus","VIVERRIDAE"
"Neither","Sulawesi Palm Civet","Macrogalidia musschenbroekii","VIVERRIDAE"
"Neither","Northern Palm Civet","Paradoxurus hermaphroditus","VIVERRIDAE"
"Neither","Brown Palm Civet","Paradoxurus jerdoni","VIVERRIDAE"
"Neither","Golden Palm Civet","Paradoxurus zeylonensis","VIVERRIDAE"
"Neither","Central African Oyan","Poiana richardsonii","VIVERRIDAE"
"Neither","Large-spotted Civet","Viverra megaspila","VIVERRIDAE"
"Neither","Malay Civet","Viverra tangalunga","VIVERRIDAE"
"Neither","Large Indian Civet","Viverra zibetha","VIVERRIDAE"
"Neither","Small Indian Civet","Viverricula indica","VIVERRIDAE"
