"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.30521843196855,5.17331413779952,0.6247606483055,3.9110752429793,6.2979781331659,-6.19132417562176,0.000999000999000999,"lower","OU",0.5,"half_life_frac=0.5"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.0251434982426417,0.146094425512506,0.0521763240239789,0.0707863623882281,0.277110553543584,-2.31811898466205,0.000999000999000999,"lower","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.193516320394223,0.643568860024264,0.135051040270693,0.408489145051561,0.898878330830356,-3.33246259138743,0.000999000999000999,"lower","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",6.82867764256953,4.44185970280103,0.645616750056647,3.2017932975805,5.61826246345054,3.69695789268027,0.000999000999000999,"upper","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.840722673253588,0.146094425512506,0.0521763240239789,0.0707863623882281,0.277110553543584,13.3130928775635,0.000999000999000999,"upper","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.969273735318154,0.643568860024264,0.135051040270693,0.408489145051561,0.898878330830356,2.41171689341346,0.003996003996004,"upper","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.18816036936573,4.44185970280103,0.645616750056647,3.2017932975805,5.61826246345054,-5.0396761440124,0.000999000999000999,"lower","OU",1,"half_life_frac=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.194829684644442,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,-0.726835437726196,0.25974025974026,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.775095225229437,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,-11.8619982084362,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",7.84836985017386,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,1.9067053222497,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.518223973565296,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,22.031594726547,0.000999000999000999,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.98318223017415,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,0.956481152220539,0.263736263736264,"upper","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",1.95752226622587,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,-9.61264721764327,0.000999000999000999,"lower","BM",NA,"BM"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.194829684644442,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,-0.726835437726196,0.25974025974026,"lower","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.775095225229437,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,-11.8619982084362,0.000999000999000999,"lower","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",7.84836985017386,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,1.9067053222497,0.000999000999000999,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.518223973565296,0.205157920285006,0.0142098680175457,0.181449284825185,0.235044556248861,22.031594726547,0.000999000999000999,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.98318223017415,0.967655326190319,0.0162333611569705,0.928688372172996,0.98318223017415,0.956481152220539,0.263736263736264,"upper","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",1.95752226622587,6.87330546161754,0.511387038772122,5.85910921326462,7.70454096309153,-9.61264721764327,0.000999000999000999,"lower","lambda_BM",1,"lambda=1"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.146122263483332,0.153868440213755,0.0106574010131593,0.136086963618889,0.176283417186646,-0.726835437726196,0.25974025974026,"lower","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.581321418922077,0.725741494642739,0.0121750208677279,0.696516279129747,0.737386672630613,-11.8619982084362,0.000999000999000999,"lower","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",9.52573227303303,8.40996476094302,0.561807287268575,7.25773374419651,9.3670397945187,1.98603246589183,0.002997002997003,"upper","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.388667980173972,0.153868440213755,0.0106574010131593,0.136086963618889,0.176283417186646,22.031594726547,0.000999000999000999,"upper","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.737386672630613,0.725741494642739,0.0121750208677279,0.696516279129747,0.737386672630613,0.956481152220538,0.263736263736264,"upper","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",2.57196135368506,8.40996476094302,0.561807287268575,7.25773374419651,9.3670397945187,-10.3914697077738,0.000999000999000999,"lower","lambda_BM",0.75,"lambda=0.75"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.097414842322221,0.102578960142503,0.00710493400877286,0.0907246424125926,0.117522278124431,-0.726835437726196,0.25974025974026,"lower","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","rmax",0.387547612614718,0.483827663095159,0.00811668057848524,0.464344186086498,0.491591115087075,-11.8619982084362,0.000999000999000999,"lower","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","neff_mean",12.4719427354402,11.169769901547,0.640761925541102,9.80531055116151,12.3170177071797,2.03222567070216,0.00999000999000999,"upper","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","off_mean",0.259111986782648,0.102578960142503,0.00710493400877286,0.0907246424125926,0.117522278124431,22.031594726547,0.000999000999000999,"upper","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","rmax",0.491591115087075,0.483827663095159,0.00811668057848524,0.464344186086498,0.491591115087075,0.956481152220539,0.263736263736264,"upper","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","neff_mean",3.76333720400114,11.169769901547,0.640761925541102,9.80531055116151,12.3170177071797,-11.5587902500471,0.000999000999000999,"lower","lambda_BM",0.5,"lambda=0.5"
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","off_mean",0.0487074211611105,0.0512894800712516,0.00355246700438643,0.0453623212062963,0.0587611390622153,-0.726835437726196,0.25974025974026,"lower","lambda_BM",0.25,"lambda=0.25"
