"SubsetID","MinPD","MeanPD","MeanNND","MaxPD"
285,1.1709612834,66.8929103053216,22.700983216935,85.9864910753
286,3.1019496303,67.4833126281777,18.321453393239,85.9864907609
287,1.1709612834,66.5566810875445,24.482915974677,85.9864908551
288,1.5782429274,68.413946282908,17.94495765062,85.9864906416
289,1.8358117646,63.892384115864,18.653755567874,85.9864913001
290,5.70599475544,67.0683805464801,22.541387265351,85.9864903578
291,2.7920379016,67.5048719834926,17.747222966325,85.9864917446
292,0.3465695404,66.8124155884519,17.384567507417,85.9864910802
293,1.7292870404,67.5114143367508,21.985067061344,85.9864927192
294,1.0878226378,65.3351654674255,18.6690463409175,85.9864910802
295,5.5701103903,66.7014891271235,17.661125502569,85.9864912932
296,5.7769388405,67.4592027610347,22.82587997886,85.9864916117
297,6.0681751535,67.260616371954,18.624871888329,85.9864903495
298,3.7115093179,65.9956205177184,20.660534039125,85.9864919266
299,3.616479884,64.4249801795322,28.280629926791,85.9864912971
300,2.4086519957,65.9975699810693,24.305636075609,85.9864910797
301,2.6865447238,67.8327171066527,25.555961939998,85.9864913904
302,6.0681751537,66.7272012432422,16.442210608953,85.9864910807
303,5.537461252,67.2300350396245,21.5761039911075,85.9864919333
304,1.1287741295,69.3187980383025,24.5441924536045,85.9864913002
305,3.1216530196,65.5597394809629,22.982486895122,85.9864915841
306,7.1441113307,66.1363933487137,20.108812987645,85.9864912656
307,4.7045914128,66.0320881671263,21.140839070029,85.9864915781
308,4.5574172014,68.3817634629129,20.021112666219,85.9864910753
309,3.0350250265,65.9263986023317,14.311648866394,85.9864907288
310,4.50069614,67.6841593878784,17.32482863263,85.9864913002
311,6.8900007179,62.3669835169466,18.752905392202,85.9864913964
312,2.7920378706,65.3643068555629,22.863388163452,85.9864901631
313,0.3306075148,63.8735763768226,13.199800536767,85.9864906663
314,4.61471633334,68.0625273916314,23.749340631421,85.9864914562
315,1.7292870404,65.8489637756287,15.284745509744,85.9864907644
316,2.9151301757,67.3519641337782,19.825610087904,85.9864908267
317,2.7920378706,68.1941246147561,15.427768355827,85.9864919252
318,6.890000686,66.1396872826368,25.37100207524,85.9864917127
319,2.7920378706,64.7135000970284,19.189731115725,85.9864913011
320,2.711255442,63.9919055010297,16.831780579417,85.986490729
321,3.00896199,67.9262808089364,20.437253205814,85.9864922456
322,2.7920379016,66.6858879895303,16.360684156962,85.9864913923
323,4.7045914759,67.9250982132057,15.865983225174,85.9864910794
324,1.067974692,67.7012907514019,18.405429742717,85.98649006504
325,1.1709612834,67.298713086245,18.400518479139,85.9864924079
326,4.53796981,63.9397395147319,23.2777304262035,85.9864907646
