"N","s","Subset_Type","Metric","Observed","SES","P_value"
512,16,"dispersed","MaxPD",77.5667217162,0.178788299008703,0.001998001998002
512,16,"clustered","MinPD",1.304499212,-1.7170479324606,0.020979020979021
512,16,"clustered","MeanPD",6.1493174033185,-17.4369417335334,0.000999000999000999
512,16,"clustered","MeanNND",3.256299871655,-6.47404238321941,0.000999000999000999
512,16,"clustered","MaxPD",7.9758958164,-260.12970235725,0.000999000999000999
512,32,"dispersed","MinPD",32.4425935501,9.59794499019845,0.000999000999000999
512,32,"dispersed","MeanPD",67.3393552971753,2.57087297894112,0.000999000999000999
512,32,"dispersed","MeanNND",39.0893953348894,6.73864079008999,0.000999000999000999
512,32,"dispersed","MaxPD",77.5667217162,2.55577587526045,0.00999000999000999
512,32,"clustered","MinPD",1.2108797954,-1.41500084353492,0.0549450549450549
512,32,"clustered","MeanPD",9.34075172045657,-24.3119197113976,0.000999000999000999
512,32,"clustered","MeanNND",3.22733594267125,-7.71930489947349,0.000999000999000999
512,32,"clustered","MaxPD",11.3057916626,-54040677.4992342,0.000999000999000999
512,64,"dispersed","MinPD",24.177519781,14.4531042144206,0.000999000999000999
512,64,"dispersed","MeanPD",64.1132671015651,1.6912940111716,0.026973026973027
512,64,"dispersed","MeanNND",29.8317048439981,7.83497676079662,0.000999000999000999
512,64,"dispersed","MaxPD",77.5667217162,1.99048121046195,0.027972027972028
512,64,"clustered","MinPD",0.715231599,-1.10154468549566,0.0979020979020979
512,64,"clustered","MeanPD",16.8732771646456,-31.7336726281083,0.000999000999000999
512,64,"clustered","MeanNND",6.11740026696031,-8.00028599989321,0.000999000999000999
512,64,"clustered","MaxPD",20.2521799891,-47822902.8707288,0.000999000999000999
