"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Metric","Observed","SES","P_value"
128,64,"clustered","OU","half_life_frac=0.1","off_mean",0.010449871518787,5.20818604913947,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.1","rmax",0.792039486427183,1.04578312064793,0.263736263736264
128,64,"clustered","OU","half_life_frac=0.1","neff_mean",45.4200918396266,-4.38530729654176,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.25","off_mean",0.0269016071134822,-3.38390929719547,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.25","rmax",0.284531491808077,-7.63322077197042,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.25","neff_mean",27.184497202009,3.77279945072702,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.25","off_mean",0.0840850499081607,14.3253368083998,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.25","rmax",0.910609705783004,0.994142170646443,0.263736263736264
128,64,"clustered","OU","half_life_frac=0.25","neff_mean",11.5731754649055,-10.313287350412,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.5","off_mean",0.0811049651052999,-2.0327057668358,0.011988011988012
128,64,"dispersed","OU","half_life_frac=0.5","rmax",0.505096800964877,-9.41033768781547,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.5","neff_mean",14.5850898637959,2.59919049044322,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.5","off_mean",0.227577401670222,20.6798833747682,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.5","rmax",0.951404439270423,0.975633770517928,0.263736263736264
128,64,"clustered","OU","half_life_frac=0.5","neff_mean",4.46737688445131,-9.86859723556474,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=1","off_mean",0.131380897300072,-1.28662884511304,0.0919080919080919
128,64,"dispersed","OU","half_life_frac=1","rmax",0.642852664229217,-10.5357876153446,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=1","neff_mean",10.5490916970551,2.22397158885757,0.000999000999000999
128,64,"clustered","OU","half_life_frac=1","off_mean",0.357772359862114,21.9171959045896,0.000999000999000999
128,64,"clustered","OU","half_life_frac=1","rmax",0.969273735318154,0.966137486637385,0.263736263736264
128,64,"clustered","OU","half_life_frac=1","neff_mean",2.84470961272634,-9.64805351248867,0.000999000999000999
128,64,"dispersed","EB","EB_r_-0.1","off_mean",0.185457795012984,-0.793029765520936,0.225774225774226
128,64,"dispersed","EB","EB_r_-0.1","rmax",0.757857533184763,-11.6651664210798,0.000999000999000999
128,64,"dispersed","EB","EB_r_-0.1","neff_mean",8.1602665945438,1.94862797395473,0.000999000999000999
128,64,"clustered","EB","EB_r_-0.1","off_mean",0.494843306439633,22.0564722488737,0.000999000999000999
128,64,"clustered","EB","EB_r_-0.1","rmax",0.981530126648606,0.95782274197872,0.263736263736264
128,64,"clustered","EB","EB_r_-0.1","neff_mean",2.05119231598361,-9.60552211197244,0.000999000999000999
128,64,"dispersed","EB","EB_r_-0.5","off_mean",0.15254528056481,-1.07054927358655,0.136863136863137
128,64,"dispersed","EB","EB_r_-0.5","rmax",0.692656020393653,-11.0277067179656,0.000999000999000999
128,64,"dispersed","EB","EB_r_-0.5","neff_mean",9.4775213356759,2.10903147693963,0.000999000999000999
128,64,"clustered","EB","EB_r_-0.5","off_mean",0.412005914602275,22.0499318358121,0.000999000999000999
128,64,"clustered","EB","EB_r_-0.5","rmax",0.974949427280951,0.9623364569847,0.263736263736264
128,64,"clustered","EB","EB_r_-0.5","neff_mean",2.46856690062691,-9.59042721215262,0.000999000999000999
128,64,"dispersed","EB","EB_r_-1","off_mean",0.119958996982815,-1.4394187534476,0.0639360639360639
128,64,"dispersed","EB","EB_r_-1","rmax",0.618985057539936,-10.4134756687394,0.000999000999000999
128,64,"dispersed","EB","EB_r_-1","neff_mean",11.2783413241527,2.29821688965983,0.000999000999000999
128,64,"clustered","EB","EB_r_-1","off_mean",0.32883571562153,21.7725696521907,0.000999000999000999
128,64,"clustered","EB","EB_r_-1","rmax",0.966785562821949,0.966993135639232,0.263736263736264
128,64,"clustered","EB","EB_r_-1","neff_mean",3.09813413440605,-9.61065678614479,0.000999000999000999
512,8,"dispersed","BM","BM","off_mean",0.0426558809695984,-2.24698601644307,0.000999000999000999
512,8,"dispersed","BM","BM","rmax",0.309479467477883,-4.5833885224776,0.000999000999000999
512,8,"dispersed","BM","BM","neff_mean",6.2039101208264,3.89844059498907,0.000999000999000999
512,8,"clustered","BM","BM","off_mean",0.946044410859706,10.1958354047792,0.000999000999000999
512,8,"clustered","BM","BM","rmax",0.99077914307287,2.29149744484442,0.001998001998002
512,8,"clustered","BM","BM","neff_mean",1.05484286937817,-4.59502712202434,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=1","off_mean",0.0426558809695984,-2.24698601644307,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=1","rmax",0.309479467477883,-4.5833885224776,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=1","neff_mean",6.2039101208264,3.89844059498907,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=1","off_mean",0.946044410859706,10.1958354047792,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=1","rmax",0.99077914307287,2.29149744484442,0.001998001998002
512,8,"clustered","lambda_BM","lambda=1","neff_mean",1.05484286937817,-4.59502712202434,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.75","off_mean",0.0319919107271988,-2.24698601644307,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.75","rmax",0.232109600608412,-4.5833885224776,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.75","neff_mean",6.56395852319408,3.71401484348772,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.75","off_mean",0.709533308144779,10.1958354047792,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.75","rmax",0.743084357304652,2.29149744484442,0.001998001998002
512,8,"clustered","lambda_BM","lambda=0.75","neff_mean",1.34228135921716,-4.9021290878304,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.5","off_mean",0.0213279404847992,-2.24698601644307,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.5","rmax",0.154739733738941,-4.5833885224776,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.5","neff_mean",6.97488966072469,3.41708288250915,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.5","off_mean",0.473022205429853,10.1958354047792,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.5","rmax",0.495389571536435,2.29149744484442,0.001998001998002
512,8,"clustered","lambda_BM","lambda=0.5","neff_mean",1.85641525675827,-5.37711494248858,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.25","off_mean",0.0106639702423996,-2.24698601644307,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.25","rmax",0.0773698668694707,-4.5833885224776,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.25","neff_mean",7.44837852045421,2.96084449029524,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.25","off_mean",0.236511102714926,10.1958354047792,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.25","rmax",0.247694785768217,2.29149744484442,0.001998001998002
512,8,"clustered","lambda_BM","lambda=0.25","neff_mean",3.01288503001291,-6.34691629567854,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.1","off_mean",0.00426558809695984,-2.24698601644307,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.1","rmax",0.0309479467477883,-4.5833885224776,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0.1","neff_mean",7.76876895945889,2.57517398393704,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.1","off_mean",0.0946044410859706,10.1958354047792,0.000999000999000999
512,8,"clustered","lambda_BM","lambda=0.1","rmax",0.099077914307287,2.29149744484442,0.001998001998002
512,8,"clustered","lambda_BM","lambda=0.1","neff_mean",4.81293308783679,-7.77022578271383,0.000999000999000999
512,8,"dispersed","lambda_BM","lambda=0","off_mean",0,NA,1
512,8,"dispersed","lambda_BM","lambda=0","rmax",0,NA,1
512,8,"dispersed","lambda_BM","lambda=0","neff_mean",8,NA,1
512,8,"clustered","lambda_BM","lambda=0","off_mean",0,NA,1
512,8,"clustered","lambda_BM","lambda=0","rmax",0,NA,1
512,8,"clustered","lambda_BM","lambda=0","neff_mean",8,NA,1
512,8,"dispersed","OU","half_life_frac=0.05","off_mean",3.1087719022134e-10,-0.332940524600283,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.05","rmax",4.84421362348445e-09,-0.317760251127631,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.05","neff_mean",7.99999998259088,0.388091932752592,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.05","off_mean",0.251514550156487,89.3605884190039,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.05","rmax",0.774407993761628,10.2353258681485,0.001998001998002
512,8,"clustered","OU","half_life_frac=0.05","neff_mean",3.10477328608263,-43.4350678197044,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.1","off_mean",5.56096609860282e-06,-0.757702406994603,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.1","rmax",6.86533089279026e-05,-0.696031270208187,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.1","neff_mean",7.99968860335118,0.913512330201441,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.1","off_mean",0.486451093384445,76.0118664152681,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.1","rmax",0.8800044274616,6.32428352684859,0.001998001998002
512,8,"clustered","OU","half_life_frac=0.1","neff_mean",1.91006924565255,-24.2294402961443,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.25","off_mean",0.00190508602733222,-1.84976350049534,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.25","rmax",0.0178937078320912,-1.70068677334196,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.25","neff_mean",7.89501341901411,2.68843272011482,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.25","off_mean",0.743553021038722,36.5192253253662,0.000999000999000999
512,8,"clustered","OU","half_life_frac=0.25","rmax",0.949958447337428,3.73650256480104,0.001998001998002
512,8,"clustered","OU","half_life_frac=0.25","neff_mean",1.32091764555262,-10.3081386350427,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.5","off_mean",0.0109143043841666,-2.26707221038722,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.5","rmax",0.0905719359326899,-2.66552783144156,0.000999000999000999
512,8,"dispersed","OU","half_life_frac=0.5","neff_mean",7.43819090098303,3.66940977893365,0.000999000999000999
