"Analysis","N","s","Species_Index","Dispersed","Clustered"
"Cricetidae_C128",128,16,9,"Baiomys_musculus_CRICETIDAE_RODENTIA","Microtus_anatolicus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,10,"Cricetulus_longicaudatus_CRICETIDAE_RODENTIA","Microtus_lusitanicus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,11,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Microtus_tatricus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,12,"Notiomys_edwardsii_CRICETIDAE_RODENTIA","Microtus_thomasi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,13,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Microtus_middendorffii_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,14,"Rhipidomys_itoan_CRICETIDAE_RODENTIA","Microtus_sachalinensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,15,"Euneomys_chinchilloides_CRICETIDAE_RODENTIA","Neodon_linzhiensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,16,16,"Nephelomys_levipes_CRICETIDAE_RODENTIA","Neodon_leucurus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,1,"Phodopus_sungorus_CRICETIDAE_RODENTIA","Myopus_schisticolor_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,2,"Neotoma_mexicana_CRICETIDAE_RODENTIA","Myodes_centralis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,3,"Scapteromys_meridionalis_CRICETIDAE_RODENTIA","Alticola_semicanus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,4,"Microtus_pinetorum_CRICETIDAE_RODENTIA","Myodes_rutilus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,5,"Tylomys_watsoni_CRICETIDAE_RODENTIA","Myodes_smithii_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,6,"Reithrodontomys_hirsutus_CRICETIDAE_RODENTIA","Eothenomys_miletus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,7,"Mesocricetus_newtoni_CRICETIDAE_RODENTIA","Eothenomys_melanogaster_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,8,"Sigmodon_hirsutus_CRICETIDAE_RODENTIA","Eothenomys_custos_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,9,"Baiomys_musculus_CRICETIDAE_RODENTIA","Dinaromys_bogdanovi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,10,"Cricetulus_longicaudatus_CRICETIDAE_RODENTIA","Lagurus_lagurus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,11,"Scolomys_ucayalensis_CRICETIDAE_RODENTIA","Eolagurus_luteus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,12,"Notiomys_edwardsii_CRICETIDAE_RODENTIA","Ellobius_talpinus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,13,"Peromyscus_polionotus_CRICETIDAE_RODENTIA","Chionomys_roberti_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,14,"Rhipidomys_itoan_CRICETIDAE_RODENTIA","Proedromys_bedfordi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,15,"Euneomys_chinchilloides_CRICETIDAE_RODENTIA","Proedromys_liangshanensis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,16,"Nephelomys_levipes_CRICETIDAE_RODENTIA","Microtus_montanus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,17,"Calomys_expulsus_CRICETIDAE_RODENTIA","Microtus_umbrosus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,18,"Juliomys_rimofrons_CRICETIDAE_RODENTIA","Microtus_miurus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,19,"Neofiber_alleni_CRICETIDAE_RODENTIA","Microtus_pinetorum_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,20,"Lemmus_sibiricus_CRICETIDAE_RODENTIA","Microtus_ilaeus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,21,"Amphinectomys_savamis_CRICETIDAE_RODENTIA","Microtus_levis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,22,"Thomasomys_gracilis_CRICETIDAE_RODENTIA","Microtus_dogramacii_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,23,"Wiedomys_pyrrhorhinos_CRICETIDAE_RODENTIA","Microtus_socialis_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,24,"Arborimus_albipes_CRICETIDAE_RODENTIA","Microtus_anatolicus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,25,"Oligoryzomys_destructor_CRICETIDAE_RODENTIA","Microtus_lusitanicus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,26,"Aepeomys_lugens_CRICETIDAE_RODENTIA","Microtus_tatricus_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,27,"Xenomys_nelsoni_CRICETIDAE_RODENTIA","Microtus_thomasi_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,28,"Paralomys_gerbillus_CRICETIDAE_RODENTIA","Microtus_middendorffii_CRICETIDAE_RODENTIA"
"Cricetidae_C128",128,32,29,"Drymoreomys_albimaculatus_CRICETIDAE_RODENTIA","Microtus_sachalinensis_CRICETIDAE_RODENTIA"
